name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Vancouver,2023-01-01,7.2,3.9,5.4,6.4,2.6,5.1,4.2,92.2,0,0,0,,0,0,15.5,7.1,62.5,1019.1,76.8,21.5,25.8,2.2,2,10,2023-01-01T08:07:47,2023-01-01T16:24:36,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
Vancouver,2023-01-02,5.4,2.2,3.4,5.4,1,3.2,2.1,91.7,0,0,0,,0,0,22.7,6.1,29,1008.2,57.5,35.3,25.7,2.2,1,10,2023-01-02T08:07:42,2023-01-02T16:25:37,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,E9431,71892099999,71042099999,71201099999,F1856"
Vancouver,2023-01-03,5.5,2.6,4.5,4.9,0.9,2.5,2.9,89.4,1.118,100,25,rain,0,0,31,13.9,73.6,1010.4,68.9,31.4,14,1.2,1,10,2023-01-03T08:07:35,2023-01-03T16:26:41,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
Vancouver,2023-01-04,7.9,4.4,5.9,6.4,2.7,4.4,2.6,79.9,0.34,100,8.33,rain,0,0,37.1,13.3,77.9,1008.9,87.5,37.3,28.8,2.5,1,10,2023-01-04T08:07:24,2023-01-04T16:27:47,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,CWWA,71784099999,D3147,E9431,71892099999,71042099999,71201099999,F1856"
Vancouver,2023-01-05,10.8,6.4,8.8,10.8,5.9,7.9,5.7,81.2,2.287,100,62.5,rain,0,0,50.8,21.7,91.8,999.2,97.6,27.3,12.9,1,1,10,2023-01-05T08:07:11,2023-01-05T16:28:55,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
Vancouver,2023-01-06,9.8,5.5,8.2,8.1,4.1,6.6,6,86.3,3.871,100,50,rain,0,0,35.3,17.3,77.1,1013.2,75.6,24,17.8,1.5,1,10,2023-01-06T08:06:54,2023-01-06T16:30:05,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,D3147,71892099999,71042099999,71201099999,F1856"
Vancouver,2023-01-07,8.8,6.7,7.9,7.8,4.7,6.1,6.2,89.3,9.602,100,54.17,rain,0,0,34.2,15.7,73.1,1010.4,96.8,18.3,7.9,0.6,0,10,2023-01-07T08:06:35,2023-01-07T16:31:17,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
Vancouver,2023-01-08,7.6,4.4,6.8,6.6,4.4,5.4,5.8,93.4,12.2,100,54.17,rain,0,0,37.1,13.4,78.5,1003.7,85.6,18.3,5.2,0.5,0,10,2023-01-08T08:06:12,2023-01-08T16:32:32,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
Vancouver,2023-01-09,9.3,7.3,8,7,4.8,6,5,81.9,1.138,100,33.33,rain,0,0,47.9,19.7,88.2,1000.9,87.3,34.1,7.3,0.6,0,10,2023-01-09T08:05:47,2023-01-09T16:33:48,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,CWWA,71784099999,D3147,E9431,71892099999,71042099999,71201099999"
Vancouver,2023-01-10,10.5,4.3,7.3,10.5,3.9,6.2,5.7,90,0.806,100,33.33,rain,0,0,27,14.6,59,1004.6,73.6,33.8,40.3,3.5,3,10,2023-01-10T08:05:19,2023-01-10T16:35:06,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"71608099999,CWWA,71784099999,E9431,71892099999,71042099999,71201099999"
